,id,level,rok,gdp_ppp_mean,gdp_ppp_lower,gdp_ppp_upper,gdp_usd_mean,gdp_usd_lower,gdp_usd_upper
3349,44,Country,2033,15830.5651150263,12327.9468870168,19419.761973754,6430.24599697117,5437.28025194202,7484.79771643446
3350,44,Country,2034,16046.7337621485,12427.0855105786,19863.340190265,6518.13775578166,5442.77562050767,7650.68713317608
3351,44,Country,2035,16265.0310822149,12522.443628385,20316.7717257879,6606.86799907577,5451.88693917718,7872.40180135706
3352,44,Country,2036,16485.7982239503,12597.2568699879,20764.0714449431,6696.66588036453,5470.37711102709,8076.96051639058
3353,44,Country,2037,16680.9490162403,12653.7934794151,21157.2763026863,6775.98207241641,5457.45750139379,8232.06055051497
3354,44,Country,2038,16877.2914245969,12721.4054175441,21648.1078731,6855.90667712541,5454.41820836852,8402.66836783746
3355,44,Country,2039,17080.3625740433,12799.6209864846,22127.9972005921,6938.45379224032,5449.99636947494,8621.591408481
3356,44,Country,2040,17294.3877309856,12854.8942366556,22623.9251800296,7025.37877668228,5434.30132565584,8767.41561520913
3357,44,Country,2041,17513.3646249759,12884.974153546,23202.8646641094,7114.39183412895,5437.66888852881,9036.95038639328
3358,44,Country,2042,17743.7870314608,12858.7337920863,23744.6949359141,7208.02044670699,5460.53806062362,9230.16674440259
3359,44,Country,2043,17976.8116734259,12929.1122028326,24348.6075311862,7302.83451682153,5458.93567365411,9428.4863875353
3360,44,Country,2044,18231.2071376813,13020.355774409,24924.7244137398,7406.05295783612,5466.20091143165,9680.28048778063
3361,44,Country,2045,18483.5645465797,13075.4728647648,25477.5544437716,7508.66369415622,5488.30851077299,9906.97054038868
3362,44,Country,2046,18749.7592139735,13072.023154503,26153.491756188,7616.88354913013,5488.97874130959,10102.2797274618
3363,44,Country,2047,19015.546505272,13070.7202929915,26883.8773176354,7724.95296026128,5455.34513973052,10463.2165357385
3364,44,Country,2048,19278.8566323562,13070.1227709017,27501.7443676847,7831.97716022054,5480.51769505,10734.5811366307
3365,44,Country,2049,19544.4512945931,13075.3581088211,28161.4864450733,7939.90412082148,5499.69923871775,11018.8301801933
3366,44,Country,2050,19815.8609165808,13162.4352933325,28723.1817281502,8050.17340952783,5484.65067787807,11295.5177260491
3367,45,Country,1960,5116.0727634161,2389.87145990384,8171.34860276309,2042.57824134336,1134.64920613206,3389.40215137875
3368,45,Country,1961,5365.54872255892,2518.9701584426,8507.06393911056,2137.60109352087,1207.7197184672,3504.88689710575
3369,45,Country,1962,5711.63694059555,2718.62921003113,8998.99748261905,2269.35652003346,1310.3879329243,3690.65078322016
3370,45,Country,1963,5900.17598673588,2860.53879551013,9227.07782264055,2340.4450756868,1367.52363974682,3829.12081164563
3371,45,Country,1964,6267.54379682935,3086.84660070325,9652.77354556776,2479.559436793,1454.29589893177,4042.44991492481
3372,45,Country,1965,6561.94339252475,3230.97259837461,10047.2388471064,2590.44429514405,1535.38764067586,4204.61669669379
3373,45,Country,1966,6979.33695700606,3452.9736269627,10595.4364465187,2747.63372813072,1633.90817668238,4430.02918585201
3374,45,Country,1967,7272.7548226559,3595.94608502515,10958.5712652764,2857.38080118834,1702.52407710741,4586.89805862118
3375,45,Country,1968,7342.20120594663,3651.85368241922,11043.0558074192,2882.24275927568,1720.67501194695,4604.61139667741
3376,45,Country,1969,7607.09197738373,3745.13965965239,11447.6169246898,2980.79372618451,1784.45852618811,4751.95296647781
3377,45,Country,1970,7945.33007632451,3969.51714775825,11890.1455473285,3106.63599966437,1866.736258938,4933.5876444834
3378,45,Country,1971,8246.87175753824,4265.93257917071,12247.9997558389,3241.60386365468,2003.14785757393,5082.68269647547
3379,45,Country,1972,8641.93629254616,4574.16417114856,12766.0755503087,3407.91122975142,2132.74328608313,5320.62172898059
3380,45,Country,1973,9045.74894828495,4949.63454589402,13233.5273673386,3587.70412238627,2282.5461335881,5583.64659754804
3381,45,Country,1974,9406.7361715917,5293.64752209502,13683.3469940317,3757.68064845752,2438.36592672298,5759.85125475158
3382,45,Country,1975,10050.0139577074,5798.02766039663,14515.6772219917,4007.22735240737,2693.817918784,6077.48160224688
3383,45,Country,1976,10438.0449425183,6196.81109586741,15014.3666122667,4181.27197199859,2886.50024917657,6308.63793017238
3384,45,Country,1977,10617.7037494182,6530.71210100239,15343.4913080987,4316.40018529281,3063.0817331567,6452.4106898332
3385,45,Country,1978,10961.1344613961,6844.11526298087,15713.8769513002,4477.88847756477,3227.21840080524,6636.27557284354
3386,45,Country,1979,11506.8889450298,7483.09930420894,16274.184370512,4699.9635489423,3421.86845513537,6926.08183213004
3387,45,Country,1980,11490.0300380468,7500.48833012133,16529.5591232924,4802.89980516676,3564.77509308957,6971.91848339849
3388,45,Country,1981,11975.5225761782,7993.77379845163,17347.6000916737,5030.03113843942,3703.89436721873,7286.31740199302
3389,45,Country,1982,12418.4116558407,8426.43078912237,17871.9661579215,5175.37036939172,3798.42492240236,7550.2898559637
3390,45,Country,1983,12662.2845125984,9034.73936721376,18253.9473411845,5324.34799954573,3915.83079762991,7753.23499911883
3391,45,Country,1984,13049.0537709592,9264.93026738852,18850.827325752,5501.69631610615,4031.94965573333,8016.56750075125
3392,45,Country,1985,13245.2986555921,9745.02050805816,19371.5525893159,5651.72000111207,4126.5261697476,8221.44132101991
3393,45,Country,1986,13687.2843445518,9766.32058816697,20381.1090809681,5926.31852241956,4342.89356220338,8610.36186861372
3394,45,Country,1987,14250.3229407462,10770.7482810865,21031.485985648,6225.14933277077,4653.24612367175,8876.8896524099
3395,45,Country,1988,14601.9239329071,11058.89438883,21592.3210401344,6688.09211695661,5234.01247232507,9071.98698809403
3396,45,Country,1989,14377.64974646,10792.7036853561,21381.956466556,6567.63730707551,5156.83985493547,8935.44791568969
3397,45,Country,1990,13621.154643182,10084.5649899621,19606.7144118749,6029.96615753893,4769.05854771579,8137.67100275717
3398,45,Country,1991,12883.2320227859,9467.75799755558,17746.5235708181,5526.60238611543,4450.14654620965,7313.54273596451
3399,45,Country,1992,11747.3248701627,8940.50056481,16398.7202055862,5151.64679888778,4218.1665956346,6678.02334755736
3400,45,Country,1993,11156.9660538602,9066.49039107612,14659.4667743788,4907.13765382605,4266.27810998175,5902.319196948
3401,45,Country,1994,11222.9126913608,9396.28345311379,14199.479190703,4936.21922475084,4445.68729126666,5699.83943014502
3402,45,Country,1995,11343.7159444607,9464.06804813424,13990.6549499797,5068.68001486561,4740.53489367226,5626.22904114243
3403,45,Country,1996,10793.1353685518,8423.69369598711,12951.476226026,5129.08079476609,5051.418325713,5211.50146264033
3404,45,Country,1997,9708.3167955117,7475.8306173407,11179.9825709503,4435.5835649225,4365.57448303583,4499.84603997469
3405,45,Country,1998,10209.9325267838,7977.00390630188,11671.2811153498,4660.87977266524,4586.35220241565,4720.81607667848
3406,45,Country,1999,9968.77633705195,9252.98974119003,10731.7715670804,4302.17775284665,4230.25423511532,4354.03389824342
3407,45,Country,2000,10535.6041666277,9973.46018384227,11121.4339675382,4512.94511939521,4459.01815028013,4589.96827814268
3408,45,Country,2001,11069.9400927811,10267.1178744872,11849.084541215,4780.75032568251,4728.59147244465,4825.28012554471
3409,45,Country,2002,11863.5599184976,10924.6700641919,12695.4956523567,5125.80416404205,5107.11042779105,5142.87016763987
3410,45,Country,2003,12526.6832950812,11361.6436202782,13467.0983904838,5428.65679353083,5412.7158605754,5449.8716484304
3411,45,Country,2004,13401.9883027247,12025.2466344807,14405.3953421157,5817.7972391254,5792.92673644482,5846.46625324418
3412,45,Country,2005,14453.7833770035,12901.4976010225,15529.8176855913,6276.64056220953,6237.99181200422,6314.76758458602
3413,45,Country,2006,15564.3279680816,13931.2991326783,16681.6978500481,6748.51410751742,6694.56822228803,6799.68933176622
3414,45,Country,2007,16910.957908553,15680.4544606412,17868.0492923496,7238.16233815901,7168.12763533717,7301.6039268994
3415,45,Country,2008,18137.873708461,17085.2157997026,19002.7738846727,7725.94482403646,7634.84074680698,7798.6703348601
3416,45,Country,2009,17826.0294309666,17231.8738853743,18475.3005875842,7509.72268457955,7412.90255928745,7584.99922164335
3417,45,Country,2010,18309.9751138476,17700.7265689025,18866.2086022491,7605.03632228569,7516.70646133102,7675.02745214959
3418,45,Country,2011,18973.6875304933,18216.0487722572,19546.0042674104,7879.51119280116,7828.3447600045,7924.3935327592
3419,45,Country,2012,19153.9380100148,18306.7393676801,19831.678129646,7954.61102001455,7907.83726619128,7996.13162925326
3420,45,Country,2013,19329.3884159229,18557.150453864,19950.8972923757,8025.38398077463,7982.8315362952,8062.81969473649
3421,45,Country,2014,19836.533241055,18860.4963877414,20672.9382946825,8225.86473377236,8185.10518065033,8264.37887969016
3422,45,Country,2015,20807.2168249299,19587.3476554539,21954.7435126656,8609.79400874465,8565.55003150181,8653.57806718452
3423,45,Country,2016,21871.2476465198,20281.5232627564,23558.0568086095,9000.88032030631,8949.71091197024,9052.48919341242
3424,45,Country,2017,22847.7716956108,21083.622549223,24827.3168208546,9383.65782551421,9327.35465563431,9439.55456199261
3425,45,Country,2018,23742.4743422296,21853.3097040934,25888.4368658407,9742.94895976909,9683.82025056634,9798.1315601374
3426,45,Country,2019,24776.3278381919,22763.6676227393,27125.9618850276,10137.3055008659,10086.449970683,10195.0275985513
3427,45,Country,2020,23538.9899839033,21626.8426728916,25771.2825437816,9631.04517372512,9582.72938522652,9685.88461111639
3428,45,Country,2021,22508.7620788061,20687.8362959568,24653.926135804,9209.33152440915,9163.13133469756,9261.76971262639
3429,45,Country,2022,22650.7001332124,20723.5918888684,24944.5594375985,9267.25988741992,9057.84734422793,9473.77758631695
3430,45,Country,2023,22827.8478751759,20758.9279372889,25297.0956802117,9339.6141807542,9010.23499477292,9685.07176062176
3431,45,Country,2024,23008.4262052414,20811.0251714912,25692.0977037367,9413.40834919829,8972.92773856762,9869.23061442095
3432,45,Country,2025,23209.3241071418,20844.9955320085,26101.8838666417,9495.50332297226,8948.59508571398,10056.3927961439
3433,45,Country,2026,23434.1303166411,20879.9489376072,26530.7382170115,9587.38864614081,8965.53996698141,10272.8608957352
3434,45,Country,2027,23676.993473504,20945.6971768057,26921.2392363993,9686.64342786991,8933.80840971532,10511.9973817894
3435,45,Country,2028,23962.1393408494,21058.5291861413,27466.4208709299,9803.153920556,8950.20214496527,10758.2763897455
3436,45,Country,2029,24263.7869101343,21072.2708815749,27907.6085340048,9926.4569922499,8922.32082452133,10989.3935702942
3437,45,Country,2030,24577.191033558,21121.6358823755,28470.2065392927,10054.5641851623,8907.55131904016,11244.3837692891
3438,45,Country,2031,24889.7945946363,21131.2155042476,29018.8628101956,10182.3652532075,8931.68060330366,11538.9237476467
3439,45,Country,2032,25180.2267065868,21090.9297035747,29637.2249511367,10301.0599553186,8897.43887042346,11788.6002595065
3440,45,Country,2033,25446.7194157442,21079.7548826996,30237.6307983444,10410.0074211696,8874.78684168944,12021.6877331053
3441,45,Country,2034,25677.4557492024,21118.4569552806,30785.8579740984,10504.3819887681,8845.63064966187,12251.385159189
3442,45,Country,2035,25893.2205249837,21107.6455384299,31286.2248503126,10592.5441679827,8802.21142684745,12487.3022954829
3443,45,Country,2036,26097.3957074684,20957.8911420789,31942.5134505128,10675.9913517381,8797.44884146022,12759.7654660424
3444,45,Country,2037,26271.898807898,20894.5558760905,32368.1870094004,10747.239282186,8759.37277914699,12942.027437201
3445,45,Country,2038,26438.1412325923,20736.2892821639,32862.2229310804,10815.112926973,8722.5310858427,13134.8593544822
3446,45,Country,2039,26580.5925053619,20625.9643808279,33332.6634266885,10873.2553267102,8673.48641779613,13423.278056409
3447,45,Country,2040,26703.0794091312,20492.5590437118,33884.182327219,10923.2478114525,8556.26020490542,13597.6073391656
3448,45,Country,2041,26822.3979661514,20245.1698889767,34267.5661914406,10972.0132795579,8473.21332955396,13757.2532309837
3449,45,Country,2042,26950.7430775527,20104.6255098156,34832.4905922387,11024.3123130965,8438.02339981206,13983.789831132
3450,45,Country,2043,27086.9165115138,20015.1435951703,35201.3390936152,11079.9141606706,8376.88788295583,14177.0307212232
